,equal_weight
2024-09-13,10702687.145976806
2024-09-16,10740925.067437839
2024-09-17,10766885.651939496
2024-09-18,10737447.432637729
2024-09-19,10975893.427965693
2024-09-20,10984141.51097662
2024-09-23,11043869.115374463
2024-09-24,11111263.180066835
2024-09-25,11076402.440150976
2024-09-26,11205259.351182349
2024-09-27,11208316.056826983
2024-09-30,11197526.600595016
2024-10-01,11048797.912111016
2024-10-02,11064199.661338229
2024-10-03,11059536.686821794
2024-10-04,11248673.33718842
2024-10-07,11189008.556143617
2024-10-08,11285097.974447357
2024-10-09,11391576.825810555
2024-10-10,11354268.585161535
2024-10-11,11504783.616641302
2024-10-14,11605683.41430206
2024-10-15,11462334.935154052
2024-10-16,11530112.64806036
2024-10-17,11498332.745763937
2024-10-18,11564585.135635545
2024-10-21,11508391.947432961
2024-10-22,11492339.373700721
2024-10-23,11347890.094126152
2024-10-24,11443741.405009074
2024-10-25,11450899.481280046
2024-10-28,11541698.692723382
2024-10-29,11593891.375668306
2024-10-30,11434056.241336154
2024-10-31,11179823.728208851
2024-11-01,11192373.175640976
2024-11-04,11151422.913152412
2024-11-05,11366992.693761703
2024-11-06,11806279.820759604
2024-11-07,11910158.441865958
2024-11-08,11911565.579560172
2024-11-11,12182638.539747676
2024-11-12,12161082.329359038
2024-11-13,12097821.27631975
2024-11-14,11982765.436580567
2024-11-15,11918719.669401588
2024-11-18,12016305.331744593
2024-11-19,12144133.590938255
2024-11-20,12134923.06932965
2024-11-21,12349131.818795977
2024-11-22,12464948.97083555
2024-11-25,12581400.422027774
2024-11-26,12505255.41251444
2024-11-27,12508747.40290849
2024-11-29,12569760.743509918
2024-12-02,12690497.768408401
2024-12-03,12698991.912541721
2024-12-04,12842550.734527435
2024-12-05,12765966.411223967
2024-12-06,12920045.25830608
2024-12-09,12766474.315761918
2024-12-10,12609597.244947027
2024-12-11,12748231.505969763
2024-12-12,12667134.125432651
2024-12-13,12685275.547387281
2024-12-16,12751648.67480527
2024-12-17,12729369.532917453
2024-12-18,12263005.486314945
2024-12-19,12152534.947722439
2024-12-20,12283969.379287433
2024-12-23,12359529.318290116
2024-12-24,12528828.285719527
2024-12-26,12513380.758158173
2024-12-27,12347180.778155861
2024-12-30,12151006.166064095
2024-12-31,12098205.966095276
2025-01-02,12131510.948532376
2025-01-03,12402825.223193398
2025-01-06,12550398.129666142
2025-01-07,12353522.400538607
2025-01-08,12275793.972690616
2025-01-10,12085645.58079309
2025-01-13,12063577.047758482
2025-01-14,12094771.883901373
2025-01-15,12368448.659403903
2025-01-16,12370327.534998039
2025-01-17,12552160.417700674
2025-01-21,12686517.611750342
2025-01-22,12797210.535272513
2025-01-23,12847325.855262296
2025-01-24,12832307.289121937
2025-01-27,12588492.537971335
2025-01-28,12713468.869251814
2025-01-29,12731162.535925364
2025-01-30,12848248.80415422
2025-01-31,12763664.892803414
2025-02-03,12686890.929255508
2025-02-04,12859902.814693743
2025-02-05,12898542.654093808
2025-02-06,12930210.074588988
2025-02-07,12837524.503576824
2025-02-10,13033057.289122863
2025-02-11,12850694.638702918
2025-02-12,12916423.049449017
2025-02-13,13153898.512907024
2025-02-14,13146987.795559485
2025-02-18,13245875.013669962
2025-02-19,13214578.742144888
2025-02-20,13132545.616648449
2025-02-21,12768763.593186716
2025-02-24,12496275.367868554
2025-02-25,12181180.38009256
2025-02-26,12385475.224331692
2025-02-27,11995060.13911648
2025-02-28,12217743.181275142
2025-03-03,11864920.568334727
2025-03-04,11794740.87504428
2025-03-05,12048789.669149492
2025-03-06,11658103.1579193
2025-03-07,11766242.502593383
2025-03-10,11100970.814866431
2025-03-11,11175930.541752942
2025-03-12,11438985.583653137
