,strategy_return
2025-11-04,15549037.166150523
2025-11-05,15811905.545940323
2025-11-06,15423640.146346219
2025-11-07,15412012.17224582
2025-11-10,15585523.819819802
2025-11-11,15354174.054409053
2025-11-12,15168100.902105207
2025-11-13,14574882.832240036
2025-11-14,14606683.52760319
2025-11-17,14442603.127357902
2025-11-18,14444676.154541772
2025-11-19,14470684.586435745
2025-11-20,13926423.880073838
2025-11-21,14014025.458909119
2025-11-24,14628295.591097446
2025-11-25,14616314.98163784
2025-11-26,14749778.01136667
2025-11-28,14921252.748415217
2025-12-01,14702591.314707357
2025-12-02,14773497.97974194
2025-12-03,15031296.497838011
2025-12-04,15370584.266784765
2025-12-05,15262140.618168917
2025-12-08,15302368.816469349
2025-12-09,15294991.99961296
2025-12-10,15237263.350362945
2025-12-11,15118208.003485858
2025-12-12,14856460.77249088
2025-12-15,14536011.515044942
2025-12-16,14664312.952176068
2025-12-17,14290193.634411886
2025-12-18,14432519.185269978
2025-12-19,14713053.33717118
2025-12-22,15012491.56667114
2025-12-23,14892702.44025258
2025-12-24,14870172.278284261
2025-12-26,14671368.997015322
2025-12-29,14592368.065137224
2025-12-30,14545476.30656579
2025-12-31,14444886.117707722
2026-01-02,14556911.64988973
2026-01-05,14606023.347317267
2026-01-06,14651958.209982855
2026-01-07,14639444.131659884
2026-01-08,14618160.626733609
2026-01-09,14688826.232338019
2026-01-12,14713937.878460707
2026-01-13,14729918.367302071
2026-01-14,14708680.87536141
2026-01-15,14741701.774332488
2026-01-16,14774600.725043373
2026-01-20,14721202.911392203
2026-01-21,14833825.59552808
2026-01-22,14856289.867945846
2026-01-23,14847866.291586533
2026-01-26,14840902.69720026
2026-01-27,14882434.073803255
2026-01-28,14918892.984362016
2026-01-29,14944233.819804238
2026-01-30,14857262.529716745
2026-02-02,14949555.407463035
2026-02-03,14957648.68861776
2026-02-04,14817304.497396588
2026-02-05,14767715.435178254
2026-02-06,14890916.768596586
2026-02-09,14908253.563734207
2026-02-10,14862554.945049573
2026-02-11,14894974.592941271
2026-02-12,14810021.470580233
2026-02-13,14806354.046152748
2026-02-17,14787507.645395545
2026-02-18,14830898.754208978
2026-02-19,14804068.302788379
2026-02-20,14856930.3535394
2026-02-23,14796431.299278935
2026-02-24,14853240.28702436
2026-02-25,14901611.360484423
2026-02-26,14868863.362854974
2026-02-27,14817560.112281235
