,equal_weight
2025-10-20,21412173.586389143
2025-10-21,21310815.750333782
2025-10-22,20924028.72344762
2025-10-23,21212299.17410049
2025-10-24,21510033.39700967
2025-10-27,21809357.90745632
2025-10-28,21712131.152709372
2025-10-29,21780173.416987576
2025-10-30,21297394.225529123
2025-10-31,21596075.619068448
2025-11-03,21482960.77612771
2025-11-04,20783356.768897653
2025-11-05,21029734.90123667
2025-11-06,20510445.60621568
2025-11-07,20540717.038217004
2025-11-10,20794276.762180075
2025-11-11,20675938.041624516
2025-11-12,20643530.766436808
2025-11-13,19989940.634280734
2025-11-14,19945850.012835894
2025-11-17,19592435.92514969
2025-11-18,19585202.868226264
2025-11-19,19512178.95243336
2025-11-20,18813305.919816878
2025-11-21,18995313.792942904
2025-11-24,19559476.659922436
2025-11-25,19624534.919635218
2025-11-26,19902760.37660582
2025-11-28,20196281.76309186
2025-12-01,19987961.29380146
2025-12-02,20070327.27899988
2025-12-03,20349338.650003903
2025-12-04,20576222.868258867
2025-12-05,20538936.09738591
2025-12-08,20532033.522428725
2025-12-09,20529596.443505697
2025-12-10,20625012.809454195
2025-12-11,20526485.939372104
2025-12-12,20211889.91512093
2025-12-15,19892193.1252729
2025-12-16,19966034.389449682
2025-12-17,19567199.02122408
2025-12-18,19665210.809926603
2025-12-19,19979785.792286742
2025-12-22,20205590.752173908
2025-12-23,20157914.673292503
2025-12-24,20226202.26328859
2025-12-26,20114835.584666457
2025-12-29,19989807.40910928
2025-12-30,19940798.51690038
2025-12-31,19794524.98747299
2026-01-02,20193191.182727687
2026-01-05,20600178.51357637
2026-01-06,20617245.432569623
2026-01-07,20469164.45012078
2026-01-08,20538654.03436823
2026-01-09,20656099.478449143
2026-01-12,20808049.47106702
2026-01-13,20832461.50798717
2026-01-14,20840175.67141469
2026-01-15,20702466.711970888
2026-01-16,20825614.50678042
2026-01-20,20317700.966059916
2026-01-21,20553716.810277943
2026-01-22,20747910.626474153
2026-01-23,20614712.59166389
2026-01-26,20463199.652355537
2026-01-27,20546399.183299217
2026-01-28,20490281.77330216
2026-01-29,20313318.264899522
2026-01-30,20053195.270997413
2026-02-02,20026579.650251504
2026-02-03,19803127.904943332
2026-02-04,19461389.528176907
2026-02-05,18742426.48661792
2026-02-06,19683273.301176872
2026-02-09,19796366.64973306
2026-02-10,19622862.430629868
2026-02-11,19445863.06699601
2026-02-12,18853767.305810608
2026-02-13,19120759.7634369
2026-02-17,19028313.796978727
2026-02-18,19144562.836712513
2026-02-19,19178180.69120202
2026-02-20,19215219.64448496
2026-02-23,18844250.322196417
2026-02-24,19101230.274272967
2026-02-25,19490156.63045517
2026-02-26,19469008.02879014
2026-02-27,19380469.694233824
